nwod_id_uri_code,nwod_id,org_short_name,beneficiary_name,payment_date,amount,clean_name,naked_name,company_name,company_number,charity_number,sicc_int,match_method
E08000001           ,179,bolton,Best Asian Media Ltd,2019-01-03,500.00,BEST ASIAN MEDIA LTD,BEST ASIAN MEDIA,BEST ASIAN MEDIA LIMITED,04166647,,58130,3  
E08000001           ,532,bolton,FOSTER CARE ASSOCIATES LTD,2019-01-03,2915.55,FOSTER CARE ASSOCIATES LTD,FOSTER CARE ASSOCIATES,FOSTER CARE ASSOCIATES LIMITED,04322806,,87900,3  
E08000001           ,526,bolton,FOSTER CARE ASSOCIATES LTD,2019-01-03,3565.93,FOSTER CARE ASSOCIATES LTD,FOSTER CARE ASSOCIATES,FOSTER CARE ASSOCIATES LIMITED,04322806,,87900,3  
E08000001           ,327,bolton,COLAS LTD,2019-01-03,696.96,COLAS LTD,COLAS,COLAS LIMITED,02644726,,42110,3  
E08000001           ,530,bolton,FOSTER CARE ASSOCIATES LTD,2019-01-03,3069.00,FOSTER CARE ASSOCIATES LTD,FOSTER CARE ASSOCIATES,FOSTER CARE ASSOCIATES LIMITED,04322806,,87900,3  
E08000001           ,131,bolton,ARCO LIMITED,2019-01-03,619.23,ARCO LIMITED,ARCO,ARCO LIMITED,00133804,,46420,1  
E08000001           ,55,bolton,AGGREGATE INDUSTRIES UK LIMITED,2019-01-03,895.09,AGGREGATE INDUSTRIES UK LIMITED,AGGREGATE INDUSTRIES UK,AGGREGATE INDUSTRIES UK LIMITED,00245717,,8110,1  
E08000001           ,623,bolton,Greenwood Tree Services Ltd,2019-01-03,1600.00,GREENWOOD TREE SERVICES LTD,GREENWOOD TREE SERVICES,GREENWOOD TREE SERVICES LTD,10157455,,81300,1  
E08000001           ,486,bolton,Event Services NW Limited,2019-01-03,2339.20,EVENT SERVICES NW LIMITED,EVENT SERVICES NW,EVENT SERVICES NW LIMITED,09091508,,93290,1  
E08000001           ,527,bolton,FOSTER CARE ASSOCIATES LTD,2019-01-03,3565.93,FOSTER CARE ASSOCIATES LTD,FOSTER CARE ASSOCIATES,FOSTER CARE ASSOCIATES LIMITED,04322806,,87900,3  
E08000001           ,624,bolton,Greenwood Tree Services Ltd,2019-01-03,1500.00,GREENWOOD TREE SERVICES LTD,GREENWOOD TREE SERVICES,GREENWOOD TREE SERVICES LTD,10157455,,81300,1  
E08000001           ,580,bolton,GATENBYSANDERSON,2019-01-03,1507.50,GATENBYSANDERSON,GATENBYSANDERSON,GATENBYSANDERSON LIMITED,04451141,,78109,3  
E08000001           ,163,bolton,Banner Group Ltd,2019-01-03,612.36,BANNER GROUP LTD,BANNER GROUP,BANNER GROUP LIMITED,05510758,,82990,3  
E08000001           ,130,bolton,ARCO LIMITED,2019-01-03,629.90,ARCO LIMITED,ARCO,ARCO LIMITED,00133804,,46420,1  
E08000001           ,622,bolton,Greenwood Tree Services Ltd,2019-01-03,2700.00,GREENWOOD TREE SERVICES LTD,GREENWOOD TREE SERVICES,GREENWOOD TREE SERVICES LTD,10157455,,81300,1  
E08000001           ,524,bolton,FOSSE BANK HOUSE,2019-01-03,4659.52,FOSSE BANK HOUSE,FOSSE BANK HOUSE,FOSSE BANK HOUSE,,,,0  
E08000001           ,246,bolton,BOOTS THE CHEMIST,2019-01-03,541.00,BOOTS THE CHEMIST,BOOTS THE CHEMIST,BOOTS THE CHEMIST,,,,0  
E08000001           ,625,bolton,Greenwood Tree Services Ltd,2019-01-03,1250.00,GREENWOOD TREE SERVICES LTD,GREENWOOD TREE SERVICES,GREENWOOD TREE SERVICES LTD,10157455,,81300,1  
E08000001           ,241,bolton,BOLTON STONE RESTORATION LTD,2019-01-03,4669.70,BOLTON STONE RESTORATION LTD,BOLTON STONE RESTORATION,BOLTON STONE RESTORATION LIMITED,03577296,,81229,3  
E08000001           ,697,bolton,Holistic Approach Ltd,2019-01-03,11935.00,HOLISTIC APPROACH LTD,HOLISTIC APPROACH,HOLISTIC APPROACH LTD,09365310,,87900,1  
E08000001           ,699,bolton,Holistic Approach Ltd,2019-01-03,11935.00,HOLISTIC APPROACH LTD,HOLISTIC APPROACH,HOLISTIC APPROACH LTD,09365310,,87900,1  
E08000001           ,829,bolton,John Turner Contruction Group Ltd,2019-01-03,8480.40,JOHN TURNER CONTRUCTION GROUP LTD,JOHN TURNER CONTRUCTION GROUP,JOHN TURNER CONTRUCTION GROUP LTD,,,,0  
E08000001           ,700,bolton,Holistic Approach Ltd,2019-01-03,11935.00,HOLISTIC APPROACH LTD,HOLISTIC APPROACH,HOLISTIC APPROACH LTD,09365310,,87900,1  
E08000001           ,701,bolton,Holistic Approach Ltd,2019-01-03,11935.00,HOLISTIC APPROACH LTD,HOLISTIC APPROACH,HOLISTIC APPROACH LTD,09365310,,87900,1  
E08000001           ,702,bolton,Holistic Approach Ltd,2019-01-03,11935.00,HOLISTIC APPROACH LTD,HOLISTIC APPROACH,HOLISTIC APPROACH LTD,09365310,,87900,1  
E08000001           ,1562,bolton,SUNRISE MEDICAL LIMITED,2019-01-03,535.00,SUNRISE MEDICAL LIMITED,SUNRISE MEDICAL,SUNRISE MEDICAL LIMITED,03570204,,32990,1  
E08000001           ,666,bolton,Hastings Cars NW Limited,2019-01-03,1056.00,HASTINGS CARS NW LIMITED,HASTINGS CARS NW,HASTINGS CARS NW LIMITED,11053751,,77110,1  
E08000001           ,1161,bolton,Pulse (NW) Ltd,2019-01-03,1790.00,PULSE (NW) LTD,PULSE NW,PULSE (NW) LTD,04182275,,70229,1  
E08000001           ,1107,bolton,Performance Health International Ltd,2019-01-03,1199.00,PERFORMANCE HEALTH INTERNATIONAL LTD,PERFORMANCE HEALTH INTERNATIONAL,PERFORMANCE HEALTH INTERNATIONAL LIMITED,04374752,,46690,3  
