nwod_id_uri_code,nwod_id,org_short_name,beneficiary_name,payment_date,amount,clean_name,naked_name,company_name,company_number,charity_number,sicc_int,match_method
E08000006           ,17,salford,Bibliotheca Ltd,2019-01-02,3995.00,BIBLIOTHECA LTD,BIBLIOTHECA,BIBLIOTHECA LIMITED,02983151,,62090,3  
E08000006           ,19,salford,Cc Communications,2019-01-02,4390.00,CC COMMUNICATIONS,CC COMMUNICATIONS,CC COMMUNICATIONS LIMITED,06333165,,62020,3  
E08000006           ,4,salford,David Phillips Group,2019-01-02,649.00,DAVID PHILLIPS GROUP,DAVID PHILLIPS GROUP,DAVID PHILLIPS GROUP LIMITED,08132439,,70100,3  
E08000006           ,7,salford,Together Trust,2019-01-02,1065.77,TOGETHER TRUST,THE TOGETHER TRUST,THE TOGETHER TRUST,00301722,CHC-209782,85600,3  
E08000006           ,8,salford,Sunbright Blinds Ltd,2019-01-02,940.00,SUNBRIGHT BLINDS LTD,SUNBRIGHT BLINDS,SUNBRIGHT BLINDS LTD,08612645,,47990,1  
E08000006           ,9,salford,Randstad Public Services Limited,2019-01-02,950.00,RANDSTAD PUBLIC SERVICES LIMITED,RANDSTAD PUBLIC SERVICES,RANDSTAD PUBLIC SERVICES LIMITED,02462482,,78200,1  
E08000006           ,10,salford,Redacted Data,2019-01-02,1373.88,REDACTED DATA,*** COMPANY NAME REDACTED ***,*** COMPANY NAME REDACTED ***,,,,0  
E08000006           ,11,salford,Royal Mail Group Ltd,2019-01-02,1155.79,ROYAL MAIL GROUP LTD,ROYAL MAIL GROUP,ROYAL MAIL GROUP LIMITED,04138203,,53100,3  
E08000006           ,12,salford,Salford Professional Development,2019-01-02,1650.00,SALFORD PROFESSIONAL DEVELOPMENT,SALFORD PROFESSIONAL DEVELOPMENT,SALFORD PROFESSIONAL DEVELOPMENT LIMITED,08127329,,85590,3  
E08000006           ,13,salford,River View Primary School,2019-01-02,2916.00,RIVER VIEW PRIMARY SCHOOL,RIVER VIEW PRIMARY SCHOOL,RIVER VIEW PRIMARY SCHOOL,,,,13 
E08000006           ,14,salford,Bibliotheca Ltd,2019-01-02,3995.00,BIBLIOTHECA LTD,BIBLIOTHECA,BIBLIOTHECA LIMITED,02983151,,62090,3  
E08000006           ,15,salford,Bibliotheca Ltd,2019-01-02,3995.00,BIBLIOTHECA LTD,BIBLIOTHECA,BIBLIOTHECA LIMITED,02983151,,62090,3  
E08000006           ,16,salford,Bibliotheca Ltd,2019-01-02,3995.00,BIBLIOTHECA LTD,BIBLIOTHECA,BIBLIOTHECA LIMITED,02983151,,62090,3  
E08000006           ,18,salford,Bibliotheca Ltd,2019-01-02,3995.00,BIBLIOTHECA LTD,BIBLIOTHECA,BIBLIOTHECA LIMITED,02983151,,62090,3  
E08000006           ,23,salford,Gmw Mental Health Nhs Ft,2019-01-02,709830.87,GMW MENTAL HEALTH NHS FT,GMW MENTAL HEALTH NHS FT,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,,NHS-RXV,,9  
E08000006           ,22,salford,City West Housing Trust,2019-01-02,26937.96,CITY WEST HOUSING TRUST,CITY WEST HOUSING TRUST,CITY WEST HOUSING TRUST,,,,0  
E08000006           ,21,salford,The Copyright Licencing Agency Ltd,2019-01-02,14410.43,THE COPYRIGHT LICENCING AGENCY LTD,THE COPYRIGHT LICENCING AGENCY,THE COPYRIGHT LICENCING AGENCY LTD,,,,0  
E08000006           ,20,salford,River View Primary School,2019-01-02,6250.00,RIVER VIEW PRIMARY SCHOOL,RIVER VIEW PRIMARY SCHOOL,RIVER VIEW PRIMARY SCHOOL,,,,13 
E08000006           ,1,salford,Mighty Writer Ltd,2019-01-02,472.87,MIGHTY WRITER LTD,MIGHTY WRITER,MIGHTY WRITER LIMITED,09839496,,85200,3  
E08000006           ,6,salford,Vision For Education,2019-01-02,850.00,VISION FOR EDUCATION,VISION FOR EDUCATION,VISION FOR EDUCATION LIMITED,06433086,,78200,3  
E08000006           ,5,salford,Barton Grange Farm,2019-01-02,805.00,BARTON GRANGE FARM,BARTON GRANGE FARM,BARTON GRANGE FARM,,,,0  
E08000006           ,3,salford,Teaching Personnel Ltd,2019-01-02,585.00,TEACHING PERSONNEL LTD,TEACHING PERSONNEL,TEACHING PERSONNEL LIMITED,03225158,,78109,3  
E08000006           ,2,salford,Axcis Education Recruitment,2019-01-02,575.00,AXCIS EDUCATION RECRUITMENT,AXCIS EDUCATION RECRUITMENT,AXCIS EDUCATION RECRUITMENT,,,,0  
E08000006           ,48,salford,Next Level Learning Ltd,2019-01-03,1134.00,NEXT LEVEL LEARNING LTD,NEXT LEVEL LEARNING,NEXT LEVEL LEARNING LIMITED,11240342,,85600,3  
E08000006           ,68,salford,Salford Community Leisure Ltd,2019-01-03,58345.00,SALFORD COMMUNITY LEISURE LTD,SALFORD COMMUNITY LEISURE,SALFORD COMMUNITY LEISURE LIMITED,IP29627R,,0,3  
E08000006           ,67,salford,Manchester City Mission,2019-01-03,18666.00,MANCHESTER CITY MISSION,MANCHESTER CITY MISSION,MANCHESTER CITY MISSION,CE009081,,0,1  
E08000006           ,66,salford,Cromwood Housing Ltd,2019-01-03,13677.00,CROMWOOD HOUSING LTD,CROMWOOD HOUSING,CROMWOOD HOUSING LTD,07765904,,55900,1  
E08000006           ,65,salford,Helping Hands Minor Repairs Service,2019-01-03,8640.00,HELPING HANDS MINOR REPAIRS SERVICE,HELPING HANDS MINOR REPAIRS SERVICE,HELPING HANDS MINOR REPAIRS SERVICE,,,,0  
E08000006           ,64,salford,Halton Container Services Ltd,2019-01-03,7672.00,HALTON CONTAINER SERVICES LTD,HALTON CONTAINER SERVICES,HALTON CONTAINER SERVICES LIMITED,04960881,,96090,3  
E08000006           ,63,salford,Stannah Stairlifts Ltd,2019-01-03,5954.00,STANNAH STAIRLIFTS LTD,STANNAH STAIRLIFTS,STANNAH STAIRLIFTS LIMITED,01401451,,32990,3  
E08000006           ,62,salford,Helping Hands Minor Repairs Service,2019-01-03,4320.00,HELPING HANDS MINOR REPAIRS SERVICE,HELPING HANDS MINOR REPAIRS SERVICE,HELPING HANDS MINOR REPAIRS SERVICE,,,,0  
E08000006           ,61,salford,Wargrave House Ltd,2019-01-03,4826.00,WARGRAVE HOUSE LTD,WARGRAVE HOUSE,WARGRAVE HOUSE LIMITED,05068428,CHC-1104715,85590,3  
E08000006           ,60,salford,Together Trust,2019-01-03,4281.40,TOGETHER TRUST,THE TOGETHER TRUST,THE TOGETHER TRUST,00301722,CHC-209782,85600,3  
E08000006           ,59,salford,Stannah Stairlifts Ltd,2019-01-03,2772.00,STANNAH STAIRLIFTS LTD,STANNAH STAIRLIFTS,STANNAH STAIRLIFTS LIMITED,01401451,,32990,3  
E08000006           ,57,salford,Together Trust,2019-01-03,2756.20,TOGETHER TRUST,THE TOGETHER TRUST,THE TOGETHER TRUST,00301722,CHC-209782,85600,3  
E08000006           ,56,salford,Hawthorn Hotel,2019-01-03,2700.00,HAWTHORN HOTEL,HAWTHORN HOTEL,HAWTHORN HOTEL LIMITED,11209392,,55100,3  
E08000006           ,55,salford,Reach Publishing Services Ltd,2019-01-03,2089.62,REACH PUBLISHING SERVICES LTD,REACH PUBLISHING SERVICES,REACH PUBLISHING SERVICES LIMITED,08339522,,74990,3  
E08000006           ,54,salford,Chrystal Consulting Ltd,2019-01-03,2085.00,CHRYSTAL CONSULTING LTD,CHRYSTAL CONSULTING,CHRYSTAL CONSULTING LIMITED,03438042,,64910,3  
E08000006           ,53,salford,Mds Mini Buses (Manchester) Ltd,2019-01-03,2200.00,MDS MINI BUSES (MANCHESTER) LTD,MDS MINIBUSES MANCHESTER,MDS MINIBUSES (MANCHESTER) LIMITED,08215671,,49390,3  
E08000006           ,52,salford,Matthew Thomas Associates Ltd,2019-01-03,1707.45,MATTHEW THOMAS ASSOCIATES LTD,MATTHEW THOMAS ASSOCIATES,MATTHEW THOMAS ASSOCIATES LIMITED,05975245,,82990,3  
E08000006           ,51,salford,Hawthorn Hotel,2019-01-03,1890.00,HAWTHORN HOTEL,HAWTHORN HOTEL,HAWTHORN HOTEL LIMITED,11209392,,55100,3  
E08000006           ,50,salford,Together Trust,2019-01-03,1684.47,TOGETHER TRUST,THE TOGETHER TRUST,THE TOGETHER TRUST,00301722,CHC-209782,85600,3  
E08000006           ,49,salford,Hawthorn Hotel,2019-01-03,1530.00,HAWTHORN HOTEL,HAWTHORN HOTEL,HAWTHORN HOTEL LIMITED,11209392,,55100,3  
E08000006           ,47,salford,Hawthorn Hotel,2019-01-03,1320.00,HAWTHORN HOTEL,HAWTHORN HOTEL,HAWTHORN HOTEL LIMITED,11209392,,55100,3  
E08000006           ,70,salford,Salford Community Leisure Ltd,2019-01-03,1007038.00,SALFORD COMMUNITY LEISURE LTD,SALFORD COMMUNITY LEISURE,SALFORD COMMUNITY LEISURE LIMITED,IP29627R,,0,3  
E08000006           ,69,salford,Salford Innovation Park,2019-01-03,123725.30,SALFORD INNOVATION PARK,SALFORD INNOVATION PARK,SALFORD INNOVATION PARK LIMITED,06641140,,68320,3  
E08000006           ,58,salford,Hawthorn Hotel,2019-01-03,2790.00,HAWTHORN HOTEL,HAWTHORN HOTEL,HAWTHORN HOTEL LIMITED,11209392,,55100,3  
E08000006           ,46,salford,Inspire Community Services,2019-01-03,1242.75,INSPIRE COMMUNITY SERVICES,INSPIRE COMMUNITY SERVICES,INSPIRE COMMUNITY SERVICES LIMITED,08861712,,88990,3  
E08000006           ,45,salford,Kershaw Surveyors Ltd,2019-01-03,1000.00,KERSHAW SURVEYORS LTD,KERSHAW SURVEYORS,KERSHAW SURVEYORS LTD,10074944,,74902,1  
E08000006           ,44,salford,Randstad Public Services Limited,2019-01-03,950.00,RANDSTAD PUBLIC SERVICES LIMITED,RANDSTAD PUBLIC SERVICES,RANDSTAD PUBLIC SERVICES LIMITED,02462482,,78200,1  
E08000006           ,43,salford,Department For Education,2019-01-03,930.09,DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,,,,13 
E08000006           ,42,salford,Teaching Personnel Ltd,2019-01-03,920.00,TEACHING PERSONNEL LTD,TEACHING PERSONNEL,TEACHING PERSONNEL LIMITED,03225158,,78109,3  
E08000006           ,41,salford,Randstad Public Services Limited,2019-01-03,837.50,RANDSTAD PUBLIC SERVICES LIMITED,RANDSTAD PUBLIC SERVICES,RANDSTAD PUBLIC SERVICES LIMITED,02462482,,78200,1  
E08000006           ,40,salford,Redacted Data,2019-01-03,879.95,REDACTED DATA,*** COMPANY NAME REDACTED ***,*** COMPANY NAME REDACTED ***,,,,0  
E08000006           ,39,salford,Department For Education,2019-01-03,710.39,DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,,,,13 
E08000006           ,38,salford,Helping Hands Minor Repairs Service,2019-01-03,640.00,HELPING HANDS MINOR REPAIRS SERVICE,HELPING HANDS MINOR REPAIRS SERVICE,HELPING HANDS MINOR REPAIRS SERVICE,,,,0  
E08000006           ,37,salford,Halton Container Services Ltd,2019-01-03,600.00,HALTON CONTAINER SERVICES LTD,HALTON CONTAINER SERVICES,HALTON CONTAINER SERVICES LIMITED,04960881,,96090,3  
E08000006           ,36,salford,Teaching Personnel Ltd,2019-01-03,585.00,TEACHING PERSONNEL LTD,TEACHING PERSONNEL,TEACHING PERSONNEL LIMITED,03225158,,78109,3  
E08000006           ,35,salford,Teaching Personnel Ltd,2019-01-03,585.00,TEACHING PERSONNEL LTD,TEACHING PERSONNEL,TEACHING PERSONNEL LIMITED,03225158,,78109,3  
E08000006           ,34,salford,Teaching Personnel Ltd,2019-01-03,585.00,TEACHING PERSONNEL LTD,TEACHING PERSONNEL,TEACHING PERSONNEL LIMITED,03225158,,78109,3  
E08000006           ,33,salford,Axcis Education Recruitment,2019-01-03,575.00,AXCIS EDUCATION RECRUITMENT,AXCIS EDUCATION RECRUITMENT,AXCIS EDUCATION RECRUITMENT,,,,0  
E08000006           ,32,salford,Hawthorn Hotel,2019-01-03,630.00,HAWTHORN HOTEL,HAWTHORN HOTEL,HAWTHORN HOTEL LIMITED,11209392,,55100,3  
E08000006           ,31,salford,Mast Lift Project Co (No2) Ltd,2019-01-03,518.47,MAST LIFT PROJECT CO (NO2) LTD,MAST FUNDCO 2,MAST FUNDCO 2 LIMITED,05816748,,42990,3  
E08000006           ,30,salford,Mds Mini Buses (Manchester) Ltd,2019-01-03,570.00,MDS MINI BUSES (MANCHESTER) LTD,MDS MINIBUSES MANCHESTER,MDS MINIBUSES (MANCHESTER) LIMITED,08215671,,49390,3  
E08000006           ,29,salford,Teaching Personnel Ltd,2019-01-03,468.00,TEACHING PERSONNEL LTD,TEACHING PERSONNEL,TEACHING PERSONNEL LIMITED,03225158,,78109,3  
E08000006           ,28,salford,Mast Lift Project Co (No2) Ltd,2019-01-03,460.76,MAST LIFT PROJECT CO (NO2) LTD,MAST FUNDCO 2,MAST FUNDCO 2 LIMITED,05816748,,42990,3  
E08000006           ,27,salford,Chrystal Consulting Ltd,2019-01-03,460.00,CHRYSTAL CONSULTING LTD,CHRYSTAL CONSULTING,CHRYSTAL CONSULTING LIMITED,03438042,,64910,3  
E08000006           ,24,salford,Mast Lift Project Co (No2) Ltd,2019-01-03,429.39,MAST LIFT PROJECT CO (NO2) LTD,MAST FUNDCO 2,MAST FUNDCO 2 LIMITED,05816748,,42990,3  
E08000006           ,26,salford,Xma Ltd,2019-01-03,444.00,XMA LTD,XMA,XMA LIMITED,02051703,,46510,3  
E08000006           ,25,salford,Greater Manchester Travelcards Ltd,2019-01-03,532.00,GREATER MANCHESTER TRAVELCARDS LTD,GREATER MANCHESTER TRAVELCARDS,GREATER MANCHESTER TRAVELCARDS LIMITED,01848309,,49319,3  
E08000006           ,92,salford,The Lowry Centre Trust,2019-01-04,27583.33,THE LOWRY CENTRE TRUST,THE LOWRY CENTRE TRUST,THE LOWRY CENTRE TRUST,03168108,CHC-1053962,90010,1  
E08000006           ,91,salford,The Lowry Centre Trust,2019-01-04,22833.33,THE LOWRY CENTRE TRUST,THE LOWRY CENTRE TRUST,THE LOWRY CENTRE TRUST,03168108,CHC-1053962,90010,1  
E08000006           ,90,salford,Jdp Educational Consultant Ltd,2019-01-04,12000.00,JDP EDUCATIONAL CONSULTANT LTD,JDP EDUCATIONAL CONSULTANT,JDP EDUCATIONAL CONSULTANT LTD,10340060,,85310,1  
E08000006           ,95,salford,Laing O'Rourke Construction North,2019-01-04,66136.72,LAING O'ROURKE CONSTRUCTION NORTH,LAING O[apostrophe]ROURKE CONSTRUCTION NORTH,LAING O'ROURKE CONSTRUCTION NORTH,,,,0  
E08000006           ,88,salford,Security Plus Ltd,2019-01-04,1932.00,SECURITY PLUS LTD,SECURITY PLUS,SECURITY PLUS LIMITED,01325489,,96090,3  
