nwod_id_uri_code,nwod_id,org_short_name,beneficiary_name,payment_date,amount,clean_name,naked_name,company_name,company_number,charity_number,sicc_int,match_method
E08000008           ,22206,tameside,Sandon House t/a Meridian Healthcare LTD,2019-01-01,53334.23,SANDON HOUSE T/A MERIDIAN HEALTHCARE LTD,SANDON HOUSE,MERIDIAN HEALTHCARE LIMITED,01952719,CQC-1-102642841,87300,8  
E08000008           ,22376,tameside,AD HOC CHAPS PAYMENT,2019-01-01,535628.00,AD HOC CHAPS PAYMENT,AD HOC CHAPS PAYMENT,AD HOC CHAPS PAYMENT,,,,0  
E08000008           ,22559,tameside,BY THE BRIDGE NORTH WEST LTD,2019-01-01,4626.75,BY THE BRIDGE NORTH WEST LTD,BY THE BRIDGE NORTH WEST,BY THE BRIDGE NORTH WEST LIMITED,05448746,,88990,3  
E08000008           ,22560,tameside,BY THE BRIDGE NORTH WEST LTD,2019-01-01,4626.75,BY THE BRIDGE NORTH WEST LTD,BY THE BRIDGE NORTH WEST,BY THE BRIDGE NORTH WEST LIMITED,05448746,,88990,3  
E08000008           ,22474,tameside,CAMBIAN CHILDCARE LTD,2019-01-01,15278.66,CAMBIAN CHILDCARE LTD,CAMBIAN CHILDCARE,CAMBIAN CHILDCARE LIMITED,04280519,,87900,3  
E08000008           ,22073,tameside,AD HOC CHAPS PAYMENT,2019-01-01,34803.84,AD HOC CHAPS PAYMENT,AD HOC CHAPS PAYMENT,AD HOC CHAPS PAYMENT,,,,0  
E08000008           ,22733,tameside,PYRAMID SCHOOLS (TAMESIDE) LTD,2019-01-01,4614.50,PYRAMID SCHOOLS (TAMESIDE) LTD,PYRAMID SCHOOLS TAMESIDE,PYRAMID SCHOOLS (TAMESIDE) LIMITED,04317602,,82990,3  
E08000008           ,22575,tameside,ACORN CARE & EDUCATION LTD (SALES),2019-01-01,11526.67,ACORN CARE & EDUCATION LTD (SALES),ACORN CARE AND EDUCATION SALES,ACORN CARE PROVIDERS LIMITED,08015695,CQC-1-3213731516,87200,8  
E08000008           ,22095,tameside,FULFILLED LIVING LIMITED TRADING AS JABULANI CARE HOME,2019-01-01,38007.40,FULFILLED LIVING LIMITED TRADING AS JABULANI CARE HOME,FULFILLED LIVING,FULFILLED LIVING LIMITED,07297452,,87200,3  
E08000008           ,22096,tameside,POSITIVE STEPS OLDHAM,2019-01-01,38219.18,POSITIVE STEPS OLDHAM,POSITIVE STEPS OLDHAM,POSITIVE STEPS OLDHAM,02563094,CHC-1017247,78109,1  
E08000008           ,22495,tameside,SHAW & SONS LTD,2019-01-01,1867.80,SHAW & SONS LTD,SHAW AND SONS,SHAW & SONS LIMITED,00176653,,58190,3  
E08000008           ,22473,tameside,CAMBIAN CHILDCARE LTD,2019-01-01,14785.80,CAMBIAN CHILDCARE LTD,CAMBIAN CHILDCARE,CAMBIAN CHILDCARE LIMITED,04280519,,87900,3  
E08000008           ,22574,tameside,ACORN CARE & EDUCATION LTD (SALES),2019-01-01,11296.67,ACORN CARE & EDUCATION LTD (SALES),ACORN CARE AND EDUCATION SALES,ACORN CARE PROVIDERS LIMITED,08015695,CQC-1-3213731516,87200,8  
E08000008           ,22097,tameside,PLANTATION INVESTMENTS LIMITED,2019-01-01,38337.10,PLANTATION INVESTMENTS LIMITED,PLANTATION INVESTMENTS,PLANTATION INVESTMENTS LIMITED,04567008,,68209,1  
E08000008           ,22216,tameside,INSPIREDSPACES TAMESIDE LTD,2019-01-01,56560.00,INSPIREDSPACES TAMESIDE LTD,INSPIREDSPACES TAMESIDE,INSPIREDSPACES TAMESIDE LIMITED,06569789,,82990,3  
E08000008           ,22215,tameside,NPOWER LIMITED,2019-01-01,55758.61,NPOWER LIMITED,NPOWER,NPOWER LIMITED,03653277,,35130,1  
E08000008           ,22214,tameside,HC ONE OF A KIND - KINGS PARK,2019-01-01,55299.30,HC ONE OF A KIND - KINGS PARK,HC-ONE,HC-ONE LIMITED,07712656,,87100,3  
E08000008           ,22213,tameside,HC ONE OF A KIND - GUIDE LANE,2019-01-01,55156.54,HC ONE OF A KIND - GUIDE LANE,HC-ONE,HC-ONE LIMITED,07712656,,87100,3  
